Source_Group,Datasets,Source_Types,Evidence_Levels,Cohort_Row_Counts,DOI_for_access,DOI_as_recorded,DOI_status,Source_Reference,Redistribution_Status,Licence_or_Terms_URL,Access_Route
10.3390/ma17010092,基础合并147,Literature,Curated_traceable,EL:3; MTL:3; Matched:3; UTS:3; YS:3,https://doi.org/10.3390/ma17010092,https://doi.org/10.3390/ma17010092,Consistent_in_reference,https://doi.org/10.3390/ma17010092,Review_required,,Resolve DOI https://doi.org/10.3390/ma17010092 and consult the article/supplement
10.3390/met14040415,基础合并147,Literature,Curated_traceable,EL:5; MTL:5; Matched:5; UTS:5; YS:5,https://doi.org/10.3390/met14040415,https://doi.org/10.3390/met14040415,Consistent_in_reference,https://doi.org/10.3390/met14040415,Review_required,,Resolve DOI https://doi.org/10.3390/met14040415 and consult the article/supplement
10.3390/met16010099,基础合并147,Literature,Curated_traceable,EL:5; MTL:5; Matched:4; UTS:4; YS:5,https://doi.org/10.3390/met16010099,https://doi.org/10.3390/met16010099,Consistent_in_reference,https://doi.org/10.3390/met16010099,Review_required,,Resolve DOI https://doi.org/10.3390/met16010099 and consult the article/supplement
ACTASRC_002,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,10.7666/d.D687312,10.7666/d.D687312,Consistent_in_reference,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312.",Review_required,,Resolve DOI 10.7666/d.D687312 and consult the article/supplement
ACTASRC_003,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,10.14158/j.cnki.1001-3814.2018.08.052,10.14158/j.cnki.1001-3814.2018.08.052,Consistent_in_reference,"祝贞凤, 史春丽, 李辉, 等. 固溶处理对7150铝合金显微组织和力学性能的影响. 热加工工艺, 2018, 47(8): 201-203, 211. DOI: 10. 14158/j. cnki. 1001-3814. 2018. 08. 052.",Review_required,,Resolve DOI 10.14158/j.cnki.1001-3814.2018.08.052 and consult the article/supplement
ACTASRC_004,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,,10.1016/j.actamat.2024.119873,No_DOI_in_reference_manual_check,"朱志云, 张雪辉, 陈慧玲, 等. 淬火介质对7249铝合金力学性能及晶间腐蚀行为的影响. 材料热处理学报, 2015, 36(1): 47-51. DOI: CNKI: SUN: JSCL. 0. 2015-01-010.",Review_required,,Locate the source from Source_Reference; DOI/access terms require manual verification
ACTASRC_005,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,,10.1016/j.actamat.2024.119873,No_DOI_in_reference_manual_check,"朱玉桂, 张豪, 张林, 等. 喷射成形7475铝合金的显微组织与力学性能[. 铸造, 2010, 3: 4. DOI: CNKI: SUN: ZZZZ. 0. 2010-03-007.",Review_required,,Locate the source from Source_Reference; DOI/access terms require manual verification
ACTASRC_006,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,10.16375/j.cnki.cn45-1395/t.2016.02.014,10.16375/j.cnki.cn45-1395/t.2016.02.014,Consistent_in_reference,"周学浩, 孙有平, 张扬扬, 等. 固溶时效对7055铝合金组织和性能的影响. 广西科技大学学报, 2016, 27(2): 81-85. DOI: 10. 16375/j. cnki. cn45-1395/t. 2016. 02. 014.",Review_required,,Resolve DOI 10.16375/j.cnki.cn45-1395/t.2016.02.014 and consult the article/supplement
ACTASRC_008,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,10.3321/j.issn:1004-0609.2001.05.007,10.3321/j.issn:1004-0609.2001.05.007,Consistent_in_reference,"郑子樵, 李红英, 莫志民. 一种7055型铝合金的RRA处理. 中国有色金属学报, 2001, 11(5): 771-780. DOI: 10. 3321/j. issn: 1004-0609. 2001. 05. 007.",Review_required,,Resolve DOI 10.3321/j.issn:1004-0609.2001.05.007 and consult the article/supplement
ACTASRC_010,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,10.7666/d.D755694,10.7666/d.D755694,Consistent_in_reference,"郑皓. 7055铝合金及环轧件的组织与热处理工艺. 哈尔滨工业大学, 2015. DOI: 10. 7666/d. D755694.",Review_required,,Resolve DOI 10.7666/d.D755694 and consult the article/supplement
ACTASRC_012,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,,10.1016/j.actamat.2024.119873,No_DOI_in_reference_manual_check,"赵晓洁, 余荣华, 袁鹏斌. 改善7055铝合金力学性能的研究. 热加工工艺, 2015, 44(16): 107-108. DOI: JournalArticle/5b3b4b38c095d70f006a1512.",Review_required,,Locate the source from Source_Reference; DOI/access terms require manual verification
ACTASRC_013,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:2; UTS:2,10.11868/j.issn.1005-5053.2015.2.008,10.11868/j.issn.1005-5053.2015.2.008,Consistent_in_reference,"赵凤, 鲁法云, 郭富安. 两种7050铝合金厚板的组织与性能. 航空材料学报, 2015, 35(2): 64-71. DOI: 10. 11868/j. issn. 1005-5053. 2015. 2. 008.",Review_required,,Resolve DOI 10.11868/j.issn.1005-5053.2015.2.008 and consult the article/supplement
ACTASRC_014,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,10.13251/j.issn.0254-6051.2015.11.034,10.13251/j.issn.0254-6051.2015.11.034,Consistent_in_reference,"赵凤, 鲁法云, 郭富安. 7050铝合金双级时效制度的研究. 金属热处理, 2015, 40(11): 149-153. DOI: 10. 13251/j. issn. 0254-6051. 2015. 11. 034.",Review_required,,Resolve DOI 10.13251/j.issn.0254-6051.2015.11.034 and consult the article/supplement
ACTASRC_015,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,,10.1016/j.actamat.2024.119873,No_DOI_in_reference_manual_check,"张允康, 许晓静, 罗勇, 等. 7075铝合金强化固溶T76处理后的拉伸与剥落腐蚀性能. 稀有金属材料与工程, 2012(S2): 612-615. DOI: CNKI: SUN: COSE. 0. 2012-S2-148.",Review_required,,Locate the source from Source_Reference; DOI/access terms require manual verification
ACTASRC_016,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,,10.1016/j.actamat.2024.119873,No_DOI_in_reference_manual_check,"张宇. 7075铝合金时效“双峰”应力腐蚀开裂与氢脆的研究. 热加工工艺, 2013, 42(6): 178-181. DOI: CNKI: SUN: SJGY. 0. 2013-06-057",Review_required,,Locate the source from Source_Reference; DOI/access terms require manual verification
ACTASRC_018,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,10.15980/j.tzzz.2015.02.010,10.15980/j.tzzz.2015.02.010,Consistent_in_reference,"张训, 王淑青, 刘晓霏, 等. 7055超高强铝合金的固溶工艺研究. 特种铸造及有色合金, 2015, 35(2): 147-149. DOI: 10. 15980/j. tzzz. 2015. 02. 010.",Review_required,,Resolve DOI 10.15980/j.tzzz.2015.02.010 and consult the article/supplement
ACTASRC_019,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,10.13251/j.issn.0254-6051.2015.10.041,10.13251/j.issn.0254-6051.2015.10.041,Consistent_in_reference,"张训, 高智勇, 叶茂, 等. 7055超高强铝合金的时效工艺. 金属热处理, 2015, 40(10): 181-186. DOI: 10. 13251/j. issn. 0254-6051. 2015. 10. 041.",Review_required,,Resolve DOI 10.13251/j.issn.0254-6051.2015.10.041 and consult the article/supplement
ACTASRC_020,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,,10.1016/j.actamat.2024.119873,No_DOI_in_reference_manual_check,"张新明, 韩念梅, 刘胜胆, 等. 7050铝合金厚板织构、拉伸性能及断裂韧性的不均匀性. 中国有色金属学报, 2010, 20(2): 202-208. DOI: CNKI: SUN: ZYXZ. 0. 2010-02-007",Review_required,,Locate the source from Source_Reference; DOI/access terms require manual verification
ACTASRC_022,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:2; UTS:2,10.3969/j.issn.1007-7235.2003.02.010,10.3969/j.issn.1007-7235.2003.02.010,Consistent_in_reference,"张晓彧, 张宏伟, 高开运. 7175铝合金大型锻件热处理工艺研究. 轻合金加工技术, 2003, 31(2): 32-37. DOI: 10. 3969/j. issn. 1007-7235. 2003. 02. 010.",Review_required,,Resolve DOI 10.3969/j.issn.1007-7235.2003.02.010 and consult the article/supplement
ACTASRC_025,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,,10.1016/j.actamat.2024.119873,No_DOI_in_reference_manual_check,"张蓉, 林高用, 伍利群. 双级均匀化对7055铝合金微结构与力学性能的影响. 武汉理工大学学报, 2011, 33(7): 1-4. DOI: CNKI: SUN: WHGY. 0. 2011-07-003.",Review_required,,Locate the source from Source_Reference; DOI/access terms require manual verification
ACTASRC_027,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,10.16078/j.tribology.2017.06.018,10.16078/j.tribology.2017.06.018,Consistent_in_reference,"张俊, 彭金方, 徐志彪, 等. 7075铝合金扭转微动疲劳行为研究. 摩擦学学报, 2017, 37(6): 854-862. DOI: 10. 16078/j. tribology. 2017. 06. 018.",Review_required,,Resolve DOI 10.16078/j.tribology.2017.06.018 and consult the article/supplement
ACTASRC_028,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,,10.1016/j.actamat.2024.119873,No_DOI_in_reference_manual_check,"张静, 杨亮, 左汝林. 固溶时效工艺对7055铝合金组织和力学性能的影响. 稀有金属材料与工程, 2015, 44(4): 956-960. DOI: CNKI: SUN: COSE. 0. 2015-04-036.",Review_required,,Locate the source from Source_Reference; DOI/access terms require manual verification
ACTASRC_030,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,10.7666/d.D503407,10.7666/d.D503407,Consistent_in_reference,"岳庚新. 7055铝合金的热处理工艺研究. 北华航天工业学院, 2014. DOI: 10. 7666/d. D503407.",Review_required,,Resolve DOI 10.7666/d.D503407 and consult the article/supplement
ACTASRC_034,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,,10.1016/j.actamat.2024.119873,No_DOI_in_reference_manual_check,"阎大京. 从7475铝合金的时效看Al—Zn—Mg—Cu系合金的强化. 材料工程, 1992, 2: 15-17. DOI: CNKI: SUN: CLGC. 0. 1992-02-006.",Review_required,,Locate the source from Source_Reference; DOI/access terms require manual verification
ACTASRC_035,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,,10.1016/j.actamat.2024.119873,No_DOI_in_reference_manual_check,"阎大京. 热处理对7475铝合金腐蚀性能的影响. 宇航材料工艺, 1992, (5): 5-10, 67. DOI: CNKI: SUN: YHCG. 0. 1992-05-001.",Review_required,,Locate the source from Source_Reference; DOI/access terms require manual verification
ACTASRC_039,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,,10.1016/j.actamat.2024.119873,No_DOI_in_reference_manual_check,"许晓静, 张允康, 罗勇, 等. 7085铝合金强化固溶T7652处理后的拉伸与晶间腐蚀性能. 稀有金属材料与工程, 2013, 2: 4. DOI: CNKI: SUN: COSE. 0. 2013-S2-092.",Review_required,,Locate the source from Source_Reference; DOI/access terms require manual verification
ACTASRC_040,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,10.3969/j.issn.1673-0224.2011.05.011,10.3969/j.issn.1673-0224.2011.05.011,Consistent_in_reference,"许俊华, 赵立军, 喻利花, 等. 时效制度对工业规格喷射成形7055铝合金组织和性能的影响. 粉末冶金材料科学与工程, 2011, 16(5): 700-709. DOI: 10. 3969/j. issn. 1673-0224. 2011. 05. 011.",Review_required,,Resolve DOI 10.3969/j.issn.1673-0224.2011.05.011 and consult the article/supplement
ACTASRC_042,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,,10.1016/j.actamat.2024.119873,No_DOI_in_reference_manual_check,"徐超. 7075铝合金的低周疲劳行为及其损伤演化机理研究. 上海工程技术大学, 2014.",Review_required,,Locate the source from Source_Reference; DOI/access terms require manual verification
ACTASRC_046,Acta_UTS461,Literature_Supplement,High_explicit_grade,MTL:1; UTS:1,10.3969/j.issn.0253-6099.2014.06.029,10.3969/j.issn.0253-6099.2014.06.029,Consistent_in_reference,"肖芳辉, 刘华山, 杨冯, 等. 微量锡对AA7085铝合金组织与性能的影响. 矿冶工程, 2014, 34(6): 5. DOI: 10. 3969/j. issn. 0253-6099. 2014. 06. 029.",Review_required,,Resolve DOI 10.3969/j.issn.0253-6099.2014.06.029 and consult the article/supplement
